"","lenguaje_punt","matematicas_punt","ciencias_sociales_punt","quimica_punt","fisica_punt","ingles_punt","idj","inst_pertenece_evaluado","estu_grupo_referencia","mod_comunica_escrita_punt","mod_ingles_punt","mod_lectura_critica","mod_razona_cuantitativo_punt","mod_comp_ciudadanas_punt","inse","d.gender_F","d.tuition_3","d.tuition_5","d.tuition_4","d.titulo_A","n"
"3794",52.45,75.7,51.89,54.01,56.61,85.62,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.1,13.3,11.5,11.9,12,65.21764668,0,0,1,0,1,101
"5305",65.67,48.4,66.39,47.6,46.37,65.79,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.5,12.3,11.2,11.7,10.8,52.552865215,1,1,0,0,1,101
"6762",57.14,55.8,61.72,52.46,58.68,74.16,1101,"U. NACIONAL DE COL.","Agricultural Sciences",9.9,11.5,11.2,11.7,11,45.994853805,1,0,0,0,1,101
"7165",68.26,58.15,55.59,57.31,51.55,60.2,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.9,10,10.8,12.8,9,62.476043297,1,0,0,0,1,101
"7228",59.11,58.15,61.72,45.87,58.68,49.6,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10,11.9,10.8,11.8,10.2,51.828548808,1,0,0,0,1,101
"7692",49.43,55.8,57.56,55.66,40.3,65.79,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.1,10.6,10.6,12.2,10.4,39.557369748,1,0,0,0,0,101
"10946",59.11,60.48,66.39,55.66,58.68,62.81,1101,"U. NACIONAL DE COL.","Agricultural Sciences",8.7,11.1,12.9,11,10.8,65.904792461,1,1,0,0,1,101
"11728",71.24,80.14,69.03,59.03,68.47,81.77,1101,"U. NACIONAL DE COL.","Agricultural Sciences",9.8,13.9,11.5,12,12.1,68.507311726,1,0,1,0,1,101
"13534",65.67,60.48,57.56,62.83,68.47,65.79,1101,"U. NACIONAL DE COL.","Agricultural Sciences",9.7,12.3,10.4,11.3,9.5,57.858048484,1,0,0,0,1,101
"18617",51.38,48.4,55.59,54.05,58.68,51.56,1101,"U. NACIONAL DE COL.","Agricultural Sciences",9.3,10.8,10.6,11.2,10.9,53.949805708,1,0,0,0,1,101
"20402",61.16,53.42,55.59,57.31,49.04,51.56,1101,"U. NACIONAL DE COL.","Agricultural Sciences",9.1,11.2,10.8,11.3,10.5,43.755885885,1,0,0,0,1,101
"20958",71.24,76.47,79.68,60.85,63.43,74.16,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11.6,15,10.8,12.3,11,62.330981842,1,0,0,0,1,101
"21310",57.14,50.97,63.97,59.03,40.3,57.84,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11.8,11.4,11.9,10.5,13.8,35.227910138,1,0,0,0,1,101
"21566",59.11,58.15,55.59,60.85,63.43,55.64,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.9,11.6,11,11.8,11,45.780358758,1,0,0,0,1,101
"25241",47.41,42.69,46.05,47.6,46.37,62.81,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11.5,10.9,10.4,10.8,10.4,54.858973499,1,0,0,0,1,101
"26004",61.16,62.84,63.97,62.83,68.47,69.4,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11.9,14.4,11.2,12.5,11.7,58.508803403,1,1,0,0,1,101
"26174",63.33,58.15,75.45,67.58,49.04,65.79,1101,"U. NACIONAL DE COL.","Agricultural Sciences",8.6,12.3,10.4,11.8,11,47.144464583,1,0,0,0,1,101
"27013",57.14,48.4,49.87,50.87,46.37,57.84,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11.8,11.4,10.2,9.9,10.4,43.184383253,1,0,0,0,1,101
"28594",55.21,53.42,55.59,39.81,49.04,43.74,1101,"U. NACIONAL DE COL.","Agricultural Sciences",12.3,9.5,10.4,10.8,11.1,49.640294034,0,1,0,0,1,101
"29537",63.33,55.8,53.67,49.26,49.04,47.66,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.2,11.1,12.4,10.8,11,44.513873591,0,0,0,0,1,101
"29592",63.33,60.48,57.56,59.03,61.03,53.56,1101,"U. NACIONAL DE COL.","Agricultural Sciences",12.5,11,11.3,11,10.8,44.130684695,0,0,0,0,1,101
"29814",61.16,65.25,57.56,45.87,53.97,60.2,1101,"U. NACIONAL DE COL.","Agricultural Sciences",8.4,13.3,11.6,11.8,12,46.302676096,0,0,0,0,1,101
"30438",65.67,62.84,61.72,49.26,51.55,65.79,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.7,11.9,11.8,12.2,12.7,63.426220458,0,0,0,0,1,101
"30962",59.11,65.25,69.03,67.58,56.34,55.64,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.7,11.7,12.1,12.6,11,45.776694006,0,0,0,0,1,101
"30966",59.11,45.66,51.76,45.87,53.97,47.66,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.6,10.2,10.6,11,11.3,37.77349606,0,0,0,0,1,101
"31203",53.3,50.97,47.97,47.6,46.37,47.66,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.9,10.2,11.5,10.8,12,53.370565683,0,0,0,0,0,101
"31821",59.11,60.48,61.72,55.66,56.34,69.4,1101,"U. NACIONAL DE COL.","Agricultural Sciences",12.4,14.4,11.1,12.7,12.7,57.494262011,0,0,0,0,1,101
"31869",59.11,50.97,51.76,49.26,58.68,55.64,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.1,11.8,9.6,10.3,9.8,58.009833387,0,1,0,0,1,101
"31899",63.33,53.42,57.56,52.46,61.03,51.56,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11,10.9,11,11.3,10.8,46.044351631,0,0,0,0,0,101
"32847",49.43,60.48,55.59,50.87,51.55,51.56,1101,"U. NACIONAL DE COL.","Agricultural Sciences",12.2,10.2,10.4,11.2,11.6,58.678652124,0,0,0,0,1,101
"34428",61.16,50.97,61.72,55.66,49.04,51.56,1101,"U. NACIONAL DE COL.","Agricultural Sciences",9.3,11.6,11.5,11.8,11.3,65.974463197,0,0,0,0,0,101
"34549",53.3,60.48,59.6,54.05,56.34,51.56,1101,"U. NACIONAL DE COL.","Agricultural Sciences",9.9,10.6,9.6,11.3,11.3,46.771196125,0,0,0,0,0,101
"34944",65.67,65.25,66.39,54.05,51.55,74.16,1101,"U. NACIONAL DE COL.","Agricultural Sciences",9.6,10.6,9.5,14.6,9.2,61.952764937,0,0,0,0,1,101
"36039",45.3,53.42,66.39,55.66,58.68,49.6,1101,"U. NACIONAL DE COL.","Agricultural Sciences",9.6,11.1,12.1,12.5,11.3,65.524090769,0,0,1,0,1,101
"36530",55.21,67.77,55.59,55.66,58.68,47.66,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11,11.5,10.6,11.7,10.6,63.702699523,0,1,0,0,1,101
"36933",49.43,35.55,51.76,49.26,51.55,45.71,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.1,10.8,9.3,10.5,10.5,57.976374945,0,0,0,0,1,101
"37208",55.21,60.48,59.6,59.03,63.43,45.71,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11.5,11.4,10.6,12.3,11.3,50.556178344,0,0,0,0,1,101
"37955",61.16,58.15,55.59,60.85,58.68,69.4,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.4,11.7,11,12.2,11.3,65.734903512,0,1,0,0,1,101
"39178",61.16,48.4,53.67,55.66,46.37,51.56,1101,"U. NACIONAL DE COL.","Agricultural Sciences",9.7,11.2,10.6,11.4,11,57.989793295,0,0,0,0,1,101
"39540",55.21,55.8,53.67,54.05,61.03,43.74,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.1,11.9,11.2,11.9,10.1,65.380190739,0,1,0,0,1,101
"40058",63.33,62.84,69.03,52.46,56.34,69.4,1101,"U. NACIONAL DE COL.","Agricultural Sciences",7.6,13.3,10.2,11.6,11.3,49.803256783,0,0,0,0,0,101
"50051",47.14,44.48,52.23,50.66,41.52,49.65,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.3,10,11.8,10.8,11,60.451322449,0,0,0,0,0,101
"57198",53.22,60.49,71.89,47.22,51.73,49.65,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.8,10.1,11.7,11.3,12.1,64.271733201,0,1,0,0,1,101
"58730",57.32,65.16,66.38,52.34,44.26,64.23,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11.9,11.9,11.8,10.9,10.7,51.483074928,1,0,0,0,1,101
"59841",51.21,65.16,57.79,45.4,49.32,76.45,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11.5,11.9,11,12.8,12,60.887793611,1,1,0,0,1,101
"60400",64.21,69.99,64.02,48.97,54.12,76.45,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.9,13.9,12,12.3,11.3,62.949288028,0,1,0,0,1,101
"61247",51.21,55.71,50.42,48.97,54.12,39.54,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.5,9.9,10.6,9.9,10.8,24.727828132,0,0,0,0,0,101
"70467",59.48,53.2,59.76,47.22,54.12,44.74,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11.4,11.2,10.8,11.2,11.1,51.290996429,0,0,0,0,1,101
"70477",57.32,50.54,59.76,47.22,54.12,55.84,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.5,10.2,8.7,9.9,9.9,44.265460793,1,0,0,0,1,101
"71673",57.32,75.27,64.02,65.59,51.73,88.67,1101,"U. NACIONAL DE COL.","Agricultural Sciences",12.7,13.9,11,12.6,10.7,56.494308764,1,0,0,0,1,101
"256681",39.5,41.17,37.03,42.4,40.72,40.78,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.4,13.3,11,11.4,10.9,63.379706632,1,1,0,0,1,101
"273581",59.48,58.13,52.23,48.97,58.93,61.22,1101,"U. NACIONAL DE COL.","Agricultural Sciences",8.7,10.9,10.4,10.9,10.6,50.776109341,0,0,0,0,1,101
"27514",53.22,67.54,66.38,54.01,44.26,59.81,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11.5,11.4,11.1,12,10.5,41.278409101,1,0,0,0,1,101
"277811",61.76,65.16,55.9,54.01,61.41,71.53,1101,"U. NACIONAL DE COL.","Agricultural Sciences",9.2,11.8,11.6,12.2,11.6,63.608382225,0,1,0,0,1,101
"28209",47.14,69.99,39.05,63.27,58.93,40.88,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.6,11.2,10.8,11.5,9.8,45.363512469,0,0,0,0,0,101
"287911",45.01,62.82,57.79,57.44,56.51,69.48,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.5,12.9,10.7,11.5,11.1,54.105898237,1,0,0,0,1,101
"29260",49.19,55.71,55.9,52.34,46.84,55.84,1101,"U. NACIONAL DE COL.","Agricultural Sciences",9.8,9.2,11.4,11.7,10.6,50.959370182,0,0,0,0,1,101
"29843",70.06,67.54,64.02,54.01,58.93,73.83,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11.2,12.7,11,13.7,10.2,56.009930407,0,0,0,0,1,101
"31745",53.22,65.16,68.97,59.25,72.97,73.83,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.4,13.6,10.7,11.5,10.8,69.127624941,1,1,0,0,1,101
"32591",55.25,65.16,57.79,55.7,64,65.86,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11.5,11,10.9,11.1,11.7,61.412698242,0,0,0,0,1,101
"329231",55.25,55.71,61.83,52.34,41.52,50.87,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.1,11.2,11.6,11.6,10.9,56.231891117,0,0,0,0,1,101
"32928",53.22,55.71,50.42,55.7,49.32,57.13,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11.6,10.1,10.7,10.9,9.4,33.435638899,1,0,0,0,1,101
"332681",55.25,55.71,59.76,50.66,54.12,44.74,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11.3,10.4,11,10.8,12.2,54.815398668,0,0,0,0,0,101
"36505",47.14,50.54,39.05,48.97,46.84,48.43,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.9,10.6,10.9,13,10.4,53.547273487,1,0,0,0,1,101
"372641",57.32,60.49,64.02,52.34,58.93,73.83,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11,11.6,10.9,13.1,10.2,41.840134507,0,0,0,0,1,101
"377071",55.25,62.82,59.76,54.01,58.93,54.57,1101,"U. NACIONAL DE COL.","Agricultural Sciences",7.8,10.5,12.6,12.1,10.6,50.04767188,0,0,0,0,0,101
"381121",55.25,55.71,52.23,47.22,46.84,57.13,1101,"U. NACIONAL DE COL.","Agricultural Sciences",9.3,11.6,10.9,12.4,10.8,38.458110571,1,0,0,0,1,101
"393041",73.82,62.82,54.05,54.01,61.41,73.83,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.6,13.6,12.4,12.3,11.7,49.980560085,0,0,0,0,1,101
"397541",57.32,69.99,68.97,61.18,58.93,64.23,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11,11.2,12.6,12,11,60.137236466,0,1,0,0,0,101
"40419",61.76,67.54,61.83,63.27,58.93,61.22,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11,11.6,11.2,12,11.1,53.737101986,0,0,0,0,0,101
"413461",55.25,30.49,55.9,52.34,44.26,45.98,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11.1,9.8,10.1,11.2,10.1,44.518415306,1,0,0,0,1,101
"41400",57.32,62.82,61.83,48.97,54.12,53.32,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11.5,10.6,12.1,12.3,11.7,58.050708938,0,0,0,0,1,101
"43664",57.32,81.5,57.79,54.01,58.93,111.94,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11,15,10.9,13,11.7,60.362847319,0,1,0,0,1,101
"453461",59.48,50.54,64.02,54.01,54.12,62.69,1101,"U. NACIONAL DE COL.","Agricultural Sciences",9.8,11.3,10.8,12.2,11.3,53.908694948,0,1,0,0,1,101
"45465",55.25,58.13,59.76,54.01,41.52,48.43,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11.2,10.4,10.3,12.3,10.7,53.971783733,0,0,0,0,1,101
"456541",55.25,62.82,68.97,48.97,51.73,67.6,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11.6,11.6,11.4,13.1,12.6,53.590564872,0,0,0,0,1,101
"458551",53.22,60.49,46.81,50.66,54.12,49.65,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10,10.1,10.7,11.7,10.2,52.535984041,0,0,0,0,1,101
"46000",59.48,53.2,48.62,59.25,61.41,88.67,1101,"U. NACIONAL DE COL.","Agricultural Sciences",9.9,12.8,11.3,12.2,11.6,60.587225827,0,1,0,0,1,101
"460011",53.22,67.54,55.9,55.7,61.41,57.13,1101,"U. NACIONAL DE COL.","Agricultural Sciences",9.9,11.4,11.2,13.4,11.2,50.052949461,0,0,0,0,0,101
"480201",57.32,58.13,57.79,50.66,54.12,62.69,1101,"U. NACIONAL DE COL.","Agricultural Sciences",9.4,14.1,10.5,13,11,59.027525191,1,1,0,0,1,101
"488841",57.32,62.82,52.23,48.97,54.12,53.32,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11.4,11.6,11.2,12.7,10.1,58.178528216,0,1,0,0,1,101
"495041",57.32,44.48,46.81,50.66,49.32,49.65,1101,"U. NACIONAL DE COL.","Agricultural Sciences",9.9,9.4,10.8,11.7,9.6,52.708826452,0,0,0,0,1,101
"512691",55.25,50.54,57.79,52.34,64,52.09,1101,"U. NACIONAL DE COL.","Agricultural Sciences",9.9,10.4,11.2,10.6,10.2,53.458571791,0,0,0,0,1,101
"531841",49.19,30.49,48.62,48.97,49.32,54.57,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11.7,11.9,11.4,10.9,9.7,55.384588856,0,0,0,0,1,101
"538551",51.21,47.67,55.9,55.7,56.51,64.23,1101,"U. NACIONAL DE COL.","Agricultural Sciences",12.2,10.6,11,11,11.1,45.401767293,0,0,0,0,1,101
"543031",57.32,50.54,57.79,50.66,54.12,50.87,1101,"U. NACIONAL DE COL.","Agricultural Sciences",12.1,10.6,11.2,11.1,12.1,53.324107601,1,0,0,0,1,101
"55040",57.32,53.2,57.79,50.66,38.57,76.45,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.1,11.6,11,12.5,11.1,43.538410071,1,0,0,0,1,101
"550591",49.19,62.82,48.62,50.66,46.84,54.57,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11.6,11.2,10.8,11.4,11.5,47.139208887,1,1,0,0,1,101
"616501",56.57,52.06,48.2,56.05,52.53,59.81,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11.7,11.6,9.7,11.5,10.6,65.617406925,1,0,0,0,1,101
"623191",47.18,49.84,56.29,52.16,48.41,54.57,1101,"U. NACIONAL DE COL.","Agricultural Sciences",9.2,13.9,11,11.7,10.5,59.582674196,0,1,0,0,1,101
"623421",51.08,63.87,66.85,59.25,58.23,73.83,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.9,14.4,11.5,12.7,10.6,54.520027478,0,1,0,0,1,101
"623821",58.76,59.02,56.07,53.84,60.61,69.48,1101,"U. NACIONAL DE COL.","Agricultural Sciences",8.8,11.6,10.6,11.9,10.8,61.639878725,1,0,0,1,1,101
"687151",51.08,52.15,66.85,47.13,50.98,49.65,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11.8,11.3,9.9,11.7,10.4,54.1327953,1,0,0,0,1,101
"765861",44.91,56.59,60.35,64.78,44.84,48.43,1101,"U. NACIONAL DE COL.","Agricultural Sciences",9.3,9.9,9.9,12,10.8,49.955535556,0,1,0,0,1,101
"791591",47.18,59.02,52.28,53.84,50.98,59.81,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11.3,11.8,10.9,10.9,10.8,61.566746281,1,1,0,0,1,101
"83919",47.18,66.5,66.85,55.57,48.41,52.09,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.4,10.2,12.2,12.9,12.1,65.562096877,0,1,0,0,1,101
"84145",67.62,69.18,52.28,59.94,59.61,80.55,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.5,15,12.7,12,12.2,60.762400292,0,0,0,0,1,101
"84975",44.91,66.35,60.35,64.78,52.53,65.86,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10,11.6,11.7,12,11.3,59.391183636,0,0,0,0,0,101
"88096",52.77,63.73,62.44,57.92,38.68,54.57,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11.6,10.6,10.7,12.3,11.7,43.347968991,0,0,0,0,1,101
"90593",58.76,66.5,62.29,66.18,58.23,71.53,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.9,11.6,12.9,12.6,11.3,50.955675571,0,0,0,0,1,101
"90969",62.71,61.26,69.23,59.94,47.54,48.43,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11.2,11,12.3,14.5,11.3,48.795808279,0,1,0,0,1,101
"18095",49.43,55.8,59.6,50.87,36.62,37.34,1102,"U. NACIONAL DE COL.","Agricultural Sciences",10.3,10.1,11.8,11.3,10.6,50.662992178,1,0,0,0,0,35
"20501",61.16,42.69,53.67,50.87,51.55,41.7,1102,"U. NACIONAL DE COL.","Agricultural Sciences",8.5,10.2,8.9,10,9.6,40.393636079,1,0,0,0,1,35
"27970",57.14,62.84,51.76,45.87,63.43,60.2,1102,"U. NACIONAL DE COL.","Agricultural Sciences",11.5,11.9,10.9,11,11,37.579906971,0,1,0,0,1,35
"28950",47.41,53.42,47.97,47.6,40.3,43.74,1102,"U. NACIONAL DE COL.","Agricultural Sciences",8.6,9.8,9.8,10.5,8.3,57.710236792,0,0,0,0,1,35
"32511",55.21,42.69,53.67,57.31,61.03,57.84,1102,"U. NACIONAL DE COL.","Agricultural Sciences",7.9,9.7,10,9.9,10.5,48.708576424,0,0,0,0,1,35
"33667",40.63,45.66,44.09,47.6,56.34,39.58,1102,"U. NACIONAL DE COL.","Agricultural Sciences",11.2,9.2,9.6,10.5,9.2,47.420277593,0,0,0,0,1,35
"34860",49.43,35.55,47.97,67.58,49.04,55.64,1102,"U. NACIONAL DE COL.","Agricultural Sciences",11,11.3,10.6,11,9.2,49.876753977,0,0,0,0,0,35
"37530",53.3,42.69,55.59,47.6,56.34,57.84,1102,"U. NACIONAL DE COL.","Agricultural Sciences",12.4,11.4,10.6,10.8,10.3,57.416986246,0,0,0,0,1,35
"38172",53.3,42.69,57.56,50.87,53.97,45.71,1102,"U. NACIONAL DE COL.","Agricultural Sciences",10.1,9,10.2,10,11.6,57.084009668,0,0,0,0,1,35
"38834",53.3,53.42,51.76,57.31,51.55,57.84,1102,"U. NACIONAL DE COL.","Agricultural Sciences",11.1,11.3,11.8,12.2,11.3,51.196128517,0,0,0,0,1,35
"43969",50.35,54.52,50.82,48.89,46.28,40.78,1102,"U. NACIONAL DE COL.","Agricultural Sciences",9.8,9.7,9.6,12.5,10.1,45.941562821,0,0,0,0,0,35
"53142",66.94,60.49,61.83,61.18,64,79.55,1102,"U. NACIONAL DE COL.","Agricultural Sciences",12.8,13.9,11.2,11.5,11.3,63.064597074,0,1,0,0,0,35
"54389",61.76,58.13,61.83,54.01,56.51,83.41,1102,"U. NACIONAL DE COL.","Agricultural Sciences",10.5,14.4,12.4,11.6,12,62.024464342,1,1,0,0,1,35
"57545",64.21,40.82,57.79,55.7,51.73,49.65,1102,"U. NACIONAL DE COL.","Agricultural Sciences",10.8,10.4,10.2,9,10.9,39.060140803,1,0,0,0,0,35
"71167",51.21,60.49,55.9,45.4,41.52,57.13,1102,"U. NACIONAL DE COL.","Agricultural Sciences",9.8,11.9,9.5,11.5,9.5,62.112566264,0,0,0,0,1,35
"23302",58.39,59.27,54.76,47.3,60.52,57.85,1102,"U. NACIONAL DE COL.","Agricultural Sciences",11.9,11.8,12,12.4,10.5,55.156635508,0,1,0,0,1,35
"249431",54.31,69.51,58.98,55.73,43.61,48.32,1102,"U. NACIONAL DE COL.","Agricultural Sciences",9.8,10.1,11.7,11.8,10.5,53.944467359,0,0,0,0,0,35
"26967",53.22,44.48,61.83,45.4,54.12,45.98,1102,"U. NACIONAL DE COL.","Agricultural Sciences",9.9,10.3,10.3,11.5,11,55.380553332,0,0,0,0,1,35
"273081",55.25,47.67,39.05,47.22,38.57,43.48,1102,"U. NACIONAL DE COL.","Agricultural Sciences",11,10.3,9.4,11,9.6,62.613941606,1,1,0,0,1,35
"27855",59.48,65.16,61.83,54.01,54.12,61.22,1102,"U. NACIONAL DE COL.","Agricultural Sciences",10.6,11.1,10.4,11.7,10.6,55.219884245,0,1,0,0,1,35
"279441",57.32,65.16,55.9,50.66,51.73,55.84,1102,"U. NACIONAL DE COL.","Agricultural Sciences",12.3,11.6,10.9,11.5,10.8,61.312538594,0,0,0,1,1,35
"28420",53.22,53.2,50.42,52.34,49.32,40.88,1102,"U. NACIONAL DE COL.","Agricultural Sciences",9.2,10.1,10.9,9.9,8.4,44.13183248,0,0,0,0,1,35
"291781",59.48,40.82,50.42,59.25,49.32,39.54,1102,"U. NACIONAL DE COL.","Agricultural Sciences",9.9,9.6,11.7,11.3,10.5,57.790065023,0,0,0,0,1,35
"292391",57.32,47.67,59.76,52.34,49.32,45.98,1102,"U. NACIONAL DE COL.","Agricultural Sciences",9.3,11,12,11.8,11.3,56.807948344,0,1,0,0,1,35
"29596",53.22,65.16,61.83,45.4,58.93,38.15,1102,"U. NACIONAL DE COL.","Agricultural Sciences",9.3,9.6,10.9,11.5,12.8,49.858356017,0,0,0,0,1,35
"31921",51.21,67.54,55.9,54.01,61.41,52.09,1102,"U. NACIONAL DE COL.","Agricultural Sciences",9.9,10.6,11.5,12.4,10.9,58.883439574,1,1,0,0,0,35
"38727",55.25,60.49,48.62,54.01,58.93,67.6,1102,"U. NACIONAL DE COL.","Agricultural Sciences",9.3,12.8,11.4,10.7,10.3,61.369235597,0,1,0,0,1,35
"404621",59.48,62.82,57.79,55.7,54.12,67.6,1102,"U. NACIONAL DE COL.","Agricultural Sciences",11.5,11.9,11.1,12.7,10.9,67.186555934,0,0,0,1,1,35
"443841",55.25,50.54,61.83,52.34,49.32,54.57,1102,"U. NACIONAL DE COL.","Agricultural Sciences",10.3,10.6,11.6,11.7,12.1,41.449674575,0,0,0,0,1,35
"450571",47.14,53.2,44.96,41.37,46.84,54.57,1102,"U. NACIONAL DE COL.","Agricultural Sciences",10.4,10.6,10.6,10.4,10.4,64.835676808,0,1,0,0,1,35
"47653",55.25,60.49,54.05,45.4,44.26,52.09,1102,"U. NACIONAL DE COL.","Agricultural Sciences",11.6,10.5,12,11.1,10.2,54.312190673,1,1,0,0,0,35
"543021",66.94,65.16,55.9,47.22,61.41,53.32,1102,"U. NACIONAL DE COL.","Agricultural Sciences",11.1,11.1,10.5,10.7,11.7,60.336299918,1,0,0,0,1,35
"623791",50.87,47.41,54.29,52.59,52.53,53.32,1102,"U. NACIONAL DE COL.","Agricultural Sciences",9.8,11.1,11.4,11.3,11.1,62.382382713,1,0,0,0,1,35
"718701",58.76,56.71,60.35,59.25,53.45,69.48,1102,"U. NACIONAL DE COL.","Agricultural Sciences",9.2,14.1,11.6,12.5,12.6,51.793319486,0,0,0,0,1,35
"83666",48.95,58.89,52.05,49.3,47.54,33.63,1102,"U. NACIONAL DE COL.","Agricultural Sciences",9.3,9.6,10.5,11.5,10.2,36.586989631,1,0,0,0,1,35
"1062",59.31,53.81,50.62,52.25,54.25,52.11,1104,"U. NACIONAL DE COL.","Agricultural Sciences",9.4,9.7,11.2,11.1,9.9,48.882434993,1,0,0,0,0,68
"1133",52.45,60.8,49.37,52.25,49.27,44.86,1104,"U. NACIONAL DE COL.","Agricultural Sciences",11.6,10,11.2,11.7,10.6,35.037452884,1,0,0,0,0,68
"1152",50.2,45.81,41.77,43.19,36.62,41.03,1104,"U. NACIONAL DE COL.","Agricultural Sciences",10.3,9.6,10,9.2,9.2,42.421872445,1,0,0,0,1,68
"1287",54.69,45.81,51.89,46.96,51.81,46.69,1104,"U. NACIONAL DE COL.","Agricultural Sciences",9.9,9.2,10.2,9.7,10.4,40.681802346,1,0,0,0,1,68
"1296",52.45,48.68,49.37,54.01,54.25,50.29,1104,"U. NACIONAL DE COL.","Agricultural Sciences",9.7,13.3,11,10.8,10.4,50.146353385,0,0,0,0,1,68
"1449",52.45,48.68,44.41,43.19,49.27,58,1104,"U. NACIONAL DE COL.","Agricultural Sciences",9.6,11.7,10,10.7,9.5,57.323920671,1,0,0,0,1,68
"1474",52.45,45.81,43.12,41.14,51.81,44.86,1104,"U. NACIONAL DE COL.","Agricultural Sciences",10.6,10.3,10.2,11,8.8,38.616358439,1,0,0,0,0,68
"2378",45.57,38.94,43.12,41.14,36.62,44.86,1104,"U. NACIONAL DE COL.","Agricultural Sciences",9.6,9.4,7.4,9.7,8.2,45.509179489,1,0,0,0,1,68
"2443",56.97,51.32,46.91,50.5,56.61,55.93,1104,"U. NACIONAL DE COL.","Agricultural Sciences",11.3,10.5,11.1,10.1,10.2,37.635511502,1,0,0,0,0,68
"2487",54.69,51.32,48.14,48.75,40.38,46.69,1104,"U. NACIONAL DE COL.","Agricultural Sciences",7.6,10.5,10,10.3,10.1,53.01106736,1,0,0,0,1,68
"2855",45.57,48.68,46.91,46.96,54.25,44.86,1104,"U. NACIONAL DE COL.","Agricultural Sciences",10.6,10.5,7.9,9.5,8.8,39.703202842,1,0,0,0,1,68
"3181",45.57,45.81,44.41,43.19,46.57,42.99,1104,"U. NACIONAL DE COL.","Agricultural Sciences",7.7,10.6,10.4,9.6,8.8,51.026384985,1,0,0,0,1,68
